data-brand,data-cate,href
Samsung,Tivi,https://www.dienmayxanh.com/tivi/smart-tivi-qled-4k-55-inch-samsung-qa55q60c?utm_flashsale=1
Toshiba,Tivi,https://www.dienmayxanh.com/tivi/smart-tivi-toshiba-43-inch-43v31mp?utm_flashsale=1
AQUA,Tivi,https://www.dienmayxanh.com/tivi/android-tivi-aqua-4k-55-inch-aqt55d67ug
TCL,Tivi,https://www.dienmayxanh.com/tivi/google-tivi-qled-tcl-4k-65-inch-65q646
Samsung,Tivi,https://www.dienmayxanh.com/tivi/smart-samsung-4k-55-inch-ua55bu8000?utm_flashsale=1
LG,Tivi,https://www.dienmayxanh.com/tivi/smart-lg-4k-65-inch-65uq8000psc?utm_flashsale=1
Samsung,Tivi,https://www.dienmayxanh.com/tivi/tivi-qled-samsung-4k-65-inch-qa65q65d
Samsung,Tivi,https://www.dienmayxanh.com/tivi/smart-tivi-samsung-4k-55-inch-ua55cu8000?utm_flashsale=1
LG,Tivi,https://www.dienmayxanh.com/tivi/smart-nanocell-lg-4k-65-inch-65nano76sqa?utm_flashsale=1
TCL,Tivi,https://www.dienmayxanh.com/tivi/google-tivi-tcl-43-inch-43s5400
Samsung,Tivi,https://www.dienmayxanh.com/tivi/smart-tivi-qled-4k-65-inch-samsung-qa65q60c?utm_flashsale=1
Sony,Tivi,https://www.dienmayxanh.com/tivi/google-tivi-sony-4k-43-inch-kd-43x77l
Samsung,Tivi,https://www.dienmayxanh.com/tivi/smart-samsung-4k-43-inch-ua43au7002?utm_flashsale=1
TCL,Tivi,https://www.dienmayxanh.com/tivi/google-tivi-tcl-32-inch-32s5400
TCL,Tivi,https://www.dienmayxanh.com/tivi/google-tivi-tcl-40-inch-40s5400
TCL,Tivi,https://www.dienmayxanh.com/tivi/google-tcl-4k-55-inch-55p635?utm_flashsale=1
Samsung,Tivi,https://www.dienmayxanh.com/tivi/smart-tivi-samsung-4k-65-inch-ua65cu8000
Samsung,Tivi,https://www.dienmayxanh.com/tivi/smart-tivi-samsung-4k-43-inch-ua43cu8000
LG,Tivi,https://www.dienmayxanh.com/tivi/smart-nanocell-lg-4k-55-inch-55nano76sqa?utm_flashsale=1
LG,Tivi,https://www.dienmayxanh.com/tivi/smart-lg-4k-55-inch-55uq8000psc?utm_flashsale=1
Sony,Tivi,https://www.dienmayxanh.com/tivi/google-tivi-sony-4k-55-inch-kd-55x77l
LG,Tivi,https://www.dienmayxanh.com/tivi/smart-lg-4k-43-inch-43uq7550psf?utm_flashsale=1
Sony,Tivi,https://www.dienmayxanh.com/tivi/google-sony-4k-43-inch-kd-43x75k
Samsung,Tivi,https://www.dienmayxanh.com/tivi/smart-tivi-samsung-32-inch-ua32t4202
Xiaomi,Tivi,https://www.dienmayxanh.com/tivi/google-tivi-xiaomi-32-inch-l32m8-p2sea
Sony,Tivi,https://www.dienmayxanh.com/tivi/android-sony-4k-65-inch-kd-65x80k
Sony,Tivi,https://www.dienmayxanh.com/tivi/google-sony-32-inch-kd-32w830k
